id;nazwa_kontrachenta;email_kontrachenta;numer_kontrachenta;termin_kontrachenta
1;Handmade Frozen Pants Outdoors;USB;Money Market Account Licensed Plastic Towels transmitter;48558
2;ROI infrastructures;Codes specifically reserved for testing purposes Lead hacking;red quantifying Syrian Arab Republic;42186
3;invoice;Small;Kuwait overriding Mobility;32081
4;Generic bypass;innovate EXE;Cape Verde Bedfordshire Marketing;35118
5;Enhanced;Tokelau e-services;Delaware Principal;31901
6;Moldovan Leu;bypassing forecast;El Salvador Plastic artificial intelligence;24579
7;Armenian Dram envisioneer;lime black Public-key;Intranet tangible;10621
8;eyeballs Tasty;feed Concrete Cambridgeshire;PNG copy;38419
9;Small Granite Chair;compress target Licensed Soft Table;bus;63991
10;Applications Public-key;Berkshire Indian Rupee Small;frictionless synergies Small;45010
